rr,or_minutes,offset_ticks,direction,bias,max_or_points,trades,net,pf,win,maxdd
1.0,30,0,short,vwap_slope,250,178,6676.279999999999,1.4222361640605825,56.17977528089888,-1816.479999999994
1.0,30,1,both,none,0,521,12148.459999999995,1.23695065340355,56.813819577735124,-3456.3199999999797
1.0,30,1,both,none,90,122,2112.22,1.313561611705081,56.557377049180324,-1175.9600000000003
1.0,30,1,both,none,130,263,8106.379999999999,1.4825536403530697,58.935361216730044,-845.7599999999948
1.0,30,1,both,none,180,399,4523.239999999996,1.1313044871646,55.639097744360896,-2443.0999999999913
1.0,30,1,both,none,250,488,9360.379999999996,1.204361187622153,56.35245901639344,-2685.839999999991
1.0,30,1,both,vwap,0,452,9363.019999999997,1.2097083351437987,57.30088495575221,-3628.7999999999956
1.0,30,1,both,vwap,90,103,1983.2800000000004,1.3730199630606266,58.252427184466015,-895.5200000000002
1.0,30,1,both,vwap,130,227,7263.519999999998,1.51806056802134,60.352422907488986,-939.6999999999989
1.0,30,1,both,vwap,180,345,4313.699999999997,1.1480183920667055,56.52173913043478,-2157.019999999984
1.0,30,1,both,vwap,250,423,6491.479999999996,1.1627776933566234,56.73758865248227,-2568.8399999999965
1.0,30,1,both,vwap_slope,0,408,11113.579999999998,1.2918347261261032,57.35294117647059,-3592.819999999996
1.0,30,1,both,vwap_slope,90,84,589.3399999999992,1.1157020574839014,52.38095238095239,-1050.6400000000003
1.0,30,1,both,vwap_slope,130,199,8474.74,1.7531120700686758,60.30150753768844,-888.4399999999932
1.0,30,1,both,vwap_slope,180,311,7463.359999999997,1.305773151274,56.91318327974276,-2007.9999999999945
1.0,30,1,both,vwap_slope,250,382,9183.819999999998,1.2711061963621937,57.06806282722513,-2532.859999999997
1.0,30,1,long,none,0,365,9206.399999999998,1.2931787784217563,58.9041095890411,-1965.159999999998
1.0,30,1,long,none,90,92,1005.9199999999994,1.1968686394238297,56.52173913043478,-948.1600000000001
1.0,30,1,long,none,130,192,4622.419999999998,1.3870414034711664,58.854166666666664,-911.6800000000001
