rr,or_minutes,offset_ticks,direction,net1,pf1,tr1,net2,pf2,tr2,min_net,sum_net,n_pos
1.0,15,4,long,4305.919999999998,1.2877730921144963,192,4013.559999999998,1.225242243330942,206,4013.559999999998,8319.479999999996,2
1.0,15,4,short,1962.1799999999982,1.1166410460351028,193,-3033.040000000002,0.8583897261303683,196,-3033.040000000002,-1070.8600000000035,1
1.0,15,8,both,5500.559999999999,1.2472144020537377,256,-2433.340000000002,0.9160697865166135,266,-2433.340000000002,3067.2199999999966,1
1.0,15,8,long,4658.9,1.3114254621682466,190,2989.559999999998,1.1626454503711467,206,2989.559999999998,7648.459999999997,2
1.0,15,8,short,1787.1799999999982,1.1036565560953426,193,-2317.8200000000015,0.8890425031810597,193,-2317.8200000000015,-530.6400000000033,1
1.0,30,0,both,8310.559999999998,1.356601401422018,256,3876.399999999998,1.1395764170441367,265,3876.399999999998,12186.959999999995,2
1.0,30,0,long,5929.039999999999,1.4150686619323904,179,3331.3599999999988,1.1960716917433958,186,3331.3599999999988,9260.399999999998,2
1.0,30,0,short,3605.199999999999,1.2290295530200999,170,1690.159999999999,1.09102208665344,166,1690.159999999999,5295.359999999998,2
1.0,30,1,both,8308.559999999998,1.3550757711736192,256,3839.899999999998,1.1377760076926937,265,3839.899999999998,12148.459999999995,2
1.0,30,1,long,5916.039999999999,1.4122969019400677,179,3290.3599999999988,1.1929488149313143,186,3290.3599999999988,9206.399999999998,2
1.0,30,1,short,3599.199999999999,1.2276937091958091,170,1684.659999999999,1.0904142613944958,166,1684.659999999999,5283.859999999998,2
1.0,30,2,both,8019.559999999999,1.3394646323633361,256,3803.399999999998,1.1359882153557914,265,3803.399999999998,11822.959999999995,2
1.0,30,2,long,5872.539999999999,1.4074338744009076,179,2702.8599999999988,1.1554193146245477,186,2702.8599999999988,8575.399999999998,2
1.0,30,2,short,3336.699999999999,1.2084989227316125,170,1679.159999999999,1.089810597389483,166,1679.159999999999,5015.859999999998,2
1.0,30,3,both,8014.059999999999,1.3378660047117066,256,3766.899999999998,1.1342129078691394,265,3766.899999999998,11780.959999999995,2
1.0,30,3,long,5858.039999999999,1.4046105115131553,179,2659.8599999999988,1.1523903047164417,186,2659.8599999999988,8517.899999999998,2
1.0,30,3,short,3328.699999999999,1.2071318520214753,170,1673.659999999999,1.089211052051418,166,1673.659999999999,5002.359999999998,2
1.0,30,4,both,7869.559999999999,1.3304435749695356,256,3559.899999999998,1.126395179237659,265,3559.899999999998,11429.459999999995,2
1.0,30,4,long,5704.539999999999,1.3922473840043672,179,2616.8599999999988,1.1493812079004444,186,2616.8599999999988,8321.399999999998,2
