rr,or_minutes,offset_ticks,direction,bias,max_or_points,regime,trades,net,pf,win,maxdd,seg1,seg2,seg3,seg4,seg5,min_seg,n_pos,min_seg_trades
2.0,15,0,both,vwap,200,adx,1017,12849.919999999991,1.1552562105891437,44.936086529006886,-2643.86,1637.3799999999992,3634.5999999999985,2905.1799999999985,2336.779999999999,2653.959999999998,1637.3799999999992,5,171
1.5,15,1,both,vwap_slope,130,adx,863,15500.379999999996,1.2688665074090855,48.8991888760139,-1599.42,1627.739999999999,3006.999999999999,1791.9599999999987,2333.6199999999994,4460.38,1627.739999999999,5,113
1.25,15,2,both,vwap_slope,130,adx,862,15585.119999999995,1.2859620415605975,52.55220417633411,-1841.019999999995,2258.739999999999,1788.4999999999989,1624.6999999999985,3189.619999999998,4019.379999999999,1624.6999999999985,5,113
3.0,60,0,both,vwap_slope,200,adx,691,11387.159999999993,1.256932824303468,54.41389290882779,-1701.1199999999917,2233.059999999999,2409.999999999999,1613.779999999999,2919.699999999999,2388.84,1613.779999999999,5,84
2.5,15,1,long,vwap_slope,130,none,703,15539.779999999995,1.3456379824598472,45.94594594594595,-2262.859999999997,1611.6199999999992,2026.139999999999,3236.159999999999,4845.299999999999,3820.5599999999995,1611.6199999999992,5,106
2.5,15,2,long,vwap,130,none,781,16046.559999999996,1.313158603462071,45.58258642765685,-2808.8399999999965,1730.1999999999991,1607.6799999999985,5441.799999999998,4407.6799999999985,2859.199999999999,1607.6799999999985,5,120
2.5,30,0,both,vwap,130,none,1174,20681.73999999999,1.2798682835233155,47.785349233390114,-2131.399999999987,2336.579999999998,5585.939999999998,3103.26,8061.119999999999,1594.8399999999988,1594.8399999999988,5,134
1.0,30,0,both,vwap_slope,200,none,1316,14582.15999999999,1.1619656563713379,53.799392097264445,-3124.7999999999956,1584.6799999999985,1985.2199999999978,2731.7999999999975,4714.499999999997,3565.959999999998,1584.6799999999985,5,221
3.0,15,0,both,vwap,200,none,1597,21843.719999999987,1.1724264174803036,42.39198497182217,-3069.059999999996,1579.8599999999997,2361.2599999999975,5781.559999999997,7244.739999999998,4876.2999999999965,1579.8599999999997,5,305
2.5,15,2,both,vwap,200,none,1594,21293.439999999988,1.168344276974176,43.287327478042656,-3143.3800000000992,1578.6,3192.7599999999975,5281.799999999997,6284.479999999998,4955.799999999997,1578.6,5,305
3.0,15,2,both,vwap,0,adx,1040,16880.89999999999,1.1835556398378013,43.46153846153846,-4121.640000000056,1564.8999999999987,5358.379999999998,3477.6799999999985,2875.079999999998,3390.580000000001,1564.8999999999987,5,183
1.0,30,1,both,vwap_slope,200,none,1316,14135.65999999999,1.1558921389255579,53.64741641337386,-3136.7999999999956,1554.1799999999985,1696.2199999999978,2641.2999999999975,4701.999999999997,3541.959999999998,1554.1799999999985,5,221
2.0,30,0,both,vwap_slope,200,none,1316,16666.15999999999,1.1709963576668547,48.70820668693009,-2887.5799999999963,2461.1799999999985,2249.7199999999975,3201.7999999999975,7203.499999999997,1549.959999999998,1549.959999999998,5,221
2.0,30,1,both,vwap,130,none,1174,18513.23999999999,1.2497010451079973,47.785349233390114,-2655.3599999999587,2164.579999999998,5142.439999999998,1548.259999999998,8048.119999999999,1609.8399999999988,1548.259999999998,5,134
1.5,30,1,both,vwap_slope,200,none,1316,17131.15999999999,1.1775610751118513,49.69604863221885,-3038.4600000001265,2724.1799999999985,1799.219999999998,3533.7999999999975,7527.499999999998,1546.459999999998,1546.459999999998,5,221
2.5,15,1,both,vwap,130,none,1436,26309.859999999986,1.2627817377805841,43.1058495821727,-2555.5400000000736,1546.019999999999,4082.2799999999975,5967.739999999997,8239.359999999999,6474.459999999999,1546.019999999999,5,221
2.0,15,2,both,vwap_slope,200,none,1500,23697.499999999993,1.2088437104355845,45.13333333333333,-3096.4400000000405,1543.239999999999,3356.4599999999973,3093.1399999999976,6664.799999999997,9039.859999999999,1543.239999999999,5,286
3.0,60,1,both,vwap_slope,200,adx,691,10982.159999999993,1.246508483341728,54.26917510853835,-1727.6199999999917,2140.059999999999,2339.499999999999,1538.779999999999,2821.199999999999,2338.84,1538.779999999999,5,84
2.5,15,0,long,vwap_slope,130,none,704,15646.539999999994,1.3499488044760408,45.88068181818182,-2250.359999999997,1537.8799999999992,2090.639999999999,3280.159999999999,4874.799999999999,3863.0599999999995,1537.8799999999992,5,106
1.5,15,0,both,vwap_slope,130,adx,864,15215.639999999992,1.2648798229079117,48.61111111111111,-1591.92,1527.999999999999,2789.999999999999,1811.9599999999987,2354.1199999999994,4459.88,1527.999999999999,5,113
2.5,15,1,long,none,130,none,1260,15387.599999999988,1.1837073118318082,44.44444444444444,-3734.7599999999893,1526.1799999999987,4232.899999999998,2060.859999999998,4346.959999999998,3220.699999999998,1526.1799999999987,5,195
3.0,30,0,both,vwap,130,none,1174,21068.73999999999,1.283438836644712,47.44463373083475,-2236.899999999987,2668.579999999998,5953.939999999998,3385.76,7536.619999999999,1523.8399999999988,1523.8399999999988,5,134
2.5,30,1,both,vwap,130,none,1174,19676.73999999999,1.2644089105515557,47.52981260647359,-2171.899999999987,2130.579999999998,5368.939999999998,3005.26,7649.119999999999,1522.8399999999988,1522.8399999999988,5,134
1.0,30,2,long,none,130,none,1003,13449.779999999993,1.2496337098997254,55.732801595214355,-1338.7399999999943,1548.199999999999,3102.759999999999,1522.6999999999985,4586.719999999999,2689.3999999999996,1522.6999999999985,5,115
