rr,or_minutes,offset_ticks,direction,bias,max_or_points,regime,trades,net,pf,win,maxdd
1.0,15,2,short,none,130,adx,758,4355.5799999999945,1.0918469727431113,52.37467018469657,-2387.5599999999795
1.0,15,2,short,none,200,none,1328,2201.2799999999907,1.0237229085651545,51.581325301204814,-4886.039999999954
1.0,15,2,short,none,200,adx,848,255.47999999999342,1.00413808920961,51.53301886792453,-4086.4199999999755
1.0,15,2,short,vwap,0,none,760,1993.599999999994,1.0344529743514055,52.368421052631575,-3590.299999999994
1.0,15,2,short,vwap,0,adx,504,-370.96000000000333,0.9907638405452858,52.976190476190474,-4060.459999999999
1.0,15,2,short,vwap,130,none,653,5082.779999999997,1.1256933463969727,53.13935681470138,-2027.179999999993
1.0,15,2,short,vwap,130,adx,433,4082.5799999999963,1.1474919454537964,54.27251732101617,-1424.9399999999878
1.0,15,2,short,vwap,200,none,740,4276.899999999994,1.0808961773440007,52.702702702702695,-3137.560000000001
1.0,15,2,short,vwap,200,adx,488,3694.3799999999965,1.1050479832804925,53.893442622950815,-2178.7799999999843
1.0,15,2,short,vwap_slope,0,none,743,5055.679999999997,1.092727747600224,53.02826379542396,-2918.2400000000016
1.0,15,2,short,vwap_slope,0,adx,498,1214.9799999999966,1.0312913683850502,54.01606425702812,-2617.079999999993
1.0,15,2,short,vwap_slope,130,none,646,7952.459999999995,1.2061102771338643,53.86996904024768,-1486.0399999999954
1.0,15,2,short,vwap_slope,130,adx,431,6693.059999999999,1.254531556610231,55.91647331786543,-1335.659999999998
1.0,15,2,short,vwap_slope,200,none,723,7325.979999999996,1.1478819476545727,53.38865836791148,-2492.1799999999985
1.0,15,2,short,vwap_slope,200,adx,482,5267.319999999996,1.1556280022384013,54.9792531120332,-1500.5199999999982
1.0,30,0,both,none,0,none,1829,20217.039999999986,1.1444173933715713,54.01858939311099,-5332.459999999999
1.0,30,0,both,none,0,adx,1161,7265.359999999991,1.0746884110712243,53.48837209302325,-6093.439999999968
1.0,30,0,both,none,130,none,1370,17011.69999999999,1.2133872371811112,54.01459854014598,-2400.599999999964
1.0,30,0,both,none,130,adx,855,10603.299999999996,1.2021935366258756,54.26900584795321,-1642.7800000000007
1.0,30,0,both,none,200,none,1698,13580.979999999987,1.1129861652683628,53.651354534746766,-3826.8799999999983
1.0,30,0,both,none,200,adx,1071,5281.459999999992,1.0650612318106807,53.408029878618116,-3419.2599999999884
1.0,30,0,both,vwap,0,none,1573,18560.97999999999,1.1562525412847757,54.48188175460903,-3816.199999999997
1.0,30,0,both,vwap,0,adx,1000,8304.499999999993,1.100516617528975,54.300000000000004,-3617.7999999999956
1.0,30,0,both,vwap,130,none,1174,16447.23999999999,1.24970789142549,54.59965928449745,-3778.079999999969
1.0,30,0,both,vwap,130,adx,733,11383.079999999994,1.2634835601116978,55.52523874488404,-2353.479999999983
1.0,30,0,both,vwap,200,none,1460,15916.099999999988,1.1596325865872958,54.31506849315069,-3644.279999999995
1.0,30,0,both,vwap,200,adx,922,8966.219999999994,1.133601722266626,54.55531453362256,-3161.659999999987
1.0,30,0,both,vwap_slope,0,none,1419,16319.93999999999,1.1526109472573876,53.84073291050036,-3583.320000000027
1.0,30,0,both,vwap_slope,0,adx,912,4243.619999999992,1.055694921989941,53.61842105263158,-3583.319999999996
1.0,30,0,both,vwap_slope,130,none,1053,13407.279999999992,1.2243047067369641,53.656220322886995,-3968.5799999999635
1.0,30,0,both,vwap_slope,130,adx,666,10816.159999999994,1.277426212285367,55.25525525525525,-1752.399999999987
1.0,30,0,both,vwap_slope,200,none,1316,14582.15999999999,1.1619656563713379,53.799392097264445,-3124.7999999999956
1.0,30,0,both,vwap_slope,200,adx,841,6454.659999999993,1.1035996474055867,53.983353151010704,-2515.0999999999995
1.0,30,0,long,none,0,none,1306,17474.05999999999,1.1960481302453412,55.81929555895865,-3031.7000000000007
1.0,30,0,long,none,0,adx,837,12051.619999999992,1.1944653406074568,56.39187574671446,-3031.7000000000003
1.0,30,0,long,none,130,none,1005,13393.299999999994,1.2502692674803364,55.82089552238806,-1469.179999999993
1.0,30,0,long,none,130,adx,626,9623.259999999995,1.2721890445101776,57.02875399361022,-1125.7600000000004
1.0,30,0,long,none,200,none,1223,12914.47999999999,1.1670052166176559,55.437448896156994,-2317.039999999998
1.0,30,0,long,none,200,adx,775,9070.999999999995,1.1746409281632995,56.25806451612904,-2024.8600000000001
1.0,30,0,long,vwap,0,none,854,10703.039999999994,1.1772288812284468,56.79156908665105,-2862.6399999999976
1.0,30,0,long,vwap,0,adx,535,9148.599999999997,1.2275685098473885,58.3177570093458,-2862.6399999999976
1.0,30,0,long,vwap,130,none,662,11898.119999999995,1.342469010292388,57.40181268882175,-2005.57999999998
1.0,30,0,long,vwap,130,adx,401,9392.759999999998,1.441494907144099,60.099750623441395,-1095.8399999999965
1.0,30,0,long,vwap,200,none,798,9860.979999999992,1.1949444424016191,56.64160401002506,-2766.4999999999836
1.0,30,0,long,vwap,200,adx,493,8802.679999999997,1.2756935496701765,58.82352941176471,-1845.1599999999992
1.0,30,0,long,vwap_slope,0,none,739,8646.139999999994,1.1641528985636567,56.156968876860624,-2813.3999999999924
1.0,30,0,long,vwap_slope,0,adx,463,4148.879999999997,1.113750593581967,56.371490280777536,-2729.1399999999976
1.0,30,0,long,vwap_slope,130,none,561,10570.859999999995,1.3619495612788617,57.04099821746881,-2003.3599999999806
1.0,30,0,long,vwap_slope,130,adx,340,8335.399999999998,1.4644033914585073,59.411764705882355,-1066.94
1.0,30,0,long,vwap_slope,200,none,694,9039.939999999995,1.2019175143610314,56.195965417867434,-2273.57999999998
